Date,Price,Open,High,Low,Volume,Chg%
"Apr 20, 2023",178.05,177.05,178.65,177.05,4.85M,0.45%
"Apr 19, 2023",177.25,178.4,179.15,176.45,15.39M,-0.37%
"Apr 18, 2023",177.9,177.25,178.8,175.75,22.02M,0.88%
"Apr 17, 2023",176.35,171,176.8,170.7,26.68M,2.89%
"Apr 13, 2023",171.4,170,171.9,168.5,20.60M,0.59%
"Apr 12, 2023",170.4,171,172.15,169.2,14.55M,-0.26%
"Apr 11, 2023",170.85,173,173.9,170.2,25.90M,2.80%
"Apr 10, 2023",166.2,167.5,168.15,165.35,15.33M,-0.42%
"Apr 06, 2023",166.9,167.1,169.25,165.4,27.21M,-0.06%
"Apr 05, 2023",167,169.5,169.7,165.1,34.86M,-1.30%
"Apr 03, 2023",169.2,169.1,170.25,168.1,16.66M,0.21%
"Mar 31, 2023",168.85,166.25,169.8,165.9,28.24M,2.68%
"Mar 29, 2023",164.45,160.3,165,160,38.39M,2.30%
"Mar 28, 2023",160.75,161.5,161.8,158.75,31.05M,-0.31%
"Mar 27, 2023",161.25,159.5,162.4,158.5,50.78M,0.91%
"Mar 24, 2023",159.8,162.5,163.95,159.15,18.61M,-1.78%
"Mar 23, 2023",162.7,166.2,167.1,162.25,20.13M,-2.81%
"Mar 22, 2023",167.4,163.85,168.25,163.2,27.47M,2.67%
